DANC1813,JMC 1013,PSY 1113,ANTH1113,FMS 1013,.,.
ENGL1113,HES 1221,MATH1523,PSY 1113,UCOL1022,HES 1823,.
AERO1011,AERO1300,ENGL1113,SOC 1113,HIST1483,UCOL1002,DMAT0123
HES 1823,MATH1643,UCOL1002,SOC 1113,ENGL1113,.,.
CHEM1415,COMM1113,EXPO1213,MATH1914,MATH1914B,CHEM1415B,.
CHEM1315,GERM1115,FMS 1013,EXPO1213,CHEM1315B,.,.
CHEM1315,GEOG1103,MATH1823,ENGL1213,GEOG1103B,CHEM1315B,.
CHEM1315,EXPO1213,MATH1523,UCOL1002,CHEM1315B,.,.
CEES1112,HIST1483,MATH1523,ENGR1410,CHEM1315,ENGR1510,ENGL1113
CHEM1315,LAT 1115,UCOL1002,MATH1643,CHEM1315B,.,.
COMM1113,ECON1113,ENGL1213,MATH1643,UCOL1002,COMM1113B,ECON1113B
ASTR1514,P SC1113,SOC 1113,UCOL1002,ASTR1514B,P SC1113B,.
CHEM1315,ENGL1113,ENGR1411,P SC1113,MATH1914,CHEM1315B,MATH1914B
BIOL1124,PHIL1013,MATH1503,AFAM2003,BIOL1124B,.,.
CHEM1315,ENGL1113,MATH1523,UCOL1002,ENGR1510,PSY 1113,CHEM1315B
CHEM1315,ENGL1113,MATH1523,ENGR1411,PSY 1113,CHEM1315B,ENGR1411B
DRAM1713,HIST1483,ENGL1113,SOC 1113,MATH1503,DRAM1713B,HIST1483B
HES 1221,SOC 1113,BIOL1114,BIOL1121,HES 2823,.,.
CHEM1315,PSY 2003,DANC1713,UCOL1022,PSY 1113,PSY 2003B,.
CHEM1315,A HI1113,MATH2433,ENGR1411,UCOL1022,CHEM1315B,ENGR1411B
ECON1123,MATH1643,SPAN3423,UCOL1002,SOC 1113,ECON1123B,.
COMM1113,HES 1221,MATH1643,UCOL1002,ENGL1113,COMM1113B,.
B AD1001,ECON1113,MATH1643,MUNM1113,UCOL1002,ENGL1213,ECON1113B
CHEM1315,GEOG1103,ENGR1411,MATH2433,GEOG1103B,CHEM1315B,ENGR1411B
MATH1643,MUNM1113,BIOL1005,ENGL1213,UCOL1030,BIOL1005B,.
CHEM1315,ENGL1113,MATH1503,UCOL1002,COMM2323,CHEM1315B,.
CHEM1315,SOC 1113,ENGL1113,ENGR1411,MATH1914,CHEM1315B,MATH1914B
ENGL1113,MATH1523,UCOL1002,SOC 1113,BIOL1114,.,.
CHEM1315,ENGL1113,PHIL1103,ENGR1410,MATH1914,CHEM1315B,MATH1914B
HIST1483,HEBR1115,UCOL1002,MATH1503,HIST1483B,.,.
CHEM1315,UCOL1002,ENGR1411,MATH1914,MATH1914B,CHEM1315B,ENGR1411B
CHEM1315,ENGL1113,MATH1523,SOC 1113,CHEM1315B,.,.
ANTH1913,HES 1661,MATH1523,MUNM1113,BIOL1114,BIOL1121,HON 2973
COMM1113,ECON1113,MATH2123,MUNM1743,COMM1113B,ECON1113B,.
CHEM1315,ENGL1113,ENGR1411,HIST1483,MATH1914,MATH1914B,HIST1483B
ENGL1113,JMC 1013,MUNM1113,UCOL1002,SOC 1113,.,.
AERO1011,AERO1300,CHEM3053,HIST2013,MUNM1113,GERM1225,.
COMM1113,ECON1123,UCOL1002,MATH1743,PSY 1113,COMM1113B,ECON1123B
EXPO1213,MATH1643,UCOL1002,FMS 1013,PSY 1113,.,.
BIOL1114,BIOL1121,UCOL1002,MATH1503,AFAM2003,.,.
COMM1113,ECON1123,MATH1643,ENGL1213,UCOL1002,COMM1113B,ECON1123B
CHEM1315,PSY 1113,ENGR1411,HIST1493,MATH2924,CHEM1315B,HIST1493B
ENGL1113,MATH1643,NAS 1013,UCOL1002,BIOL1124,BIOL1124B,.
EXPO1213,MUTE1130,ITAL1115,PHIL1113,UCOL1022,PIAN2000,.
CHEM1315,ENGL1113,MATH1523,ENGR1411,UCOL1002,CHEM1315B,ENGR1411B
ENGL1113,MATH1643,SPAN1115,BIOL1124,BIOL1124B,.,.
ECON1123,PHYS1114,PSY 1113,MATH1743,MUNM1113,PHYS1114B,ECON1123B
EXPO1213,AHS 1400,MATH1743,ANTH2303,CHEM1315,CHEM1315B,.
A HI1113,MATH1473,UCOL1002,SOC 1113,ENGL1213,MATH1473B,.
CL C2383,DANC1713,MATH1523,PSY 1113,ENGL1113,.,.
HES 2131,MATH1503,SOC 1113,BIOL1114,BIOL1121,.,.
AHS 1400,SOC 1523,DANC1713,BIOL1114,BIOL1121,PSY 1113,.
ENGL1113,AHS 1400,MATH1503,BIOL1114,BIOL1121,.,.
ENGL1113,GEOL1104,UCOL1002,SOC 1113,HIST1483,GEOL1104B,HIST1483B
CHEM1315,ENGL1213,HIST1493,MATH2924,CHEM1315B,MATH2924B,.
CHEM1315,MATH1823,FMS 1013,UCOL1030,PSY 1113,CHEM1315B,.
CHEM1315,MATH1643,UCOL1002,CL C2213,CHEM1315B,.,.
CHEM1315,DANC1813,MATH1523,ANTH1113,CHEM1315B,.,.
C S 1313,A HI1113,GEOG1203,CHEM1315,CHEM1315B,C S 1313B,.
